Date,MONT-SUR-ROLLE - Humidité moy. (%),MONT-SUR-ROLLE - Précipitations tot. (mm ou litres/m2),MONT-SUR-ROLLE - Température moy. +2 m (°C)
01.10.2022,87,23.8,10.7
02.10.2022,82,10.9,16.8
03.10.2022,80,0,15.1
04.10.2022,77,0,15.1
05.10.2022,75,0,15.9
06.10.2022,76,0,17.3
07.10.2022,85,0,15.6
08.10.2022,89,3.4,14.9
09.10.2022,77,0,13.7
10.10.2022,89,0.2,15.1
11.10.2022,84,0,15.4
12.10.2022,81,0,15.8
13.10.2022,89,0,14.6
14.10.2022,89,5.4,14.8
15.10.2022,79,0,16.8
16.10.2022,74,0,17.5
17.10.2022,80,0,16.6
18.10.2022,84,0,16.5
19.10.2022,91,0,14.6
20.10.2022,92,0.2,15.8
21.10.2022,95,14.9,15.3
22.10.2022,91,1.2,14.8
23.10.2022,92,3.7,14.1
24.10.2022,95,25.8,14.1
25.10.2022,96,0,13.3
26.10.2022,85,0,16.2
27.10.2022,93,0,15
28.10.2022,90,0,14.8
29.10.2022,92,0,14.5
30.10.2022,94,0,14
31.10.2022,90,0,14.5
01.11.2022,88,7.5,14.1
02.11.2022,76,0,12.1
03.11.2022,90,7.8,10
04.11.2022,86,3.7,7.6
05.11.2022,75,0,7.9
06.11.2022,73,0,8.5
07.11.2022,66,0,11.8
08.11.2022,76,0,10.7
09.11.2022,100,21.4,11.3
10.11.2022,81,0,12.4
11.11.2022,86,0,10.9
12.11.2022,92,0,9.2
13.11.2022,90,0,8
14.11.2022,73,0.9,11.8
15.11.2022,94,16.2,10.3
16.11.2022,80,8.2,11
17.11.2022,74,5.5,12.1
18.11.2022,78,1.6,8.5
19.11.2022,75,0.2,7.1
20.11.2022,70,0.5,6.9
21.11.2022,84,7,6.3
22.11.2022,84,2.1,6.1
23.11.2022,87,6.4,5.1
24.11.2022,85,1.4,7.9
25.11.2022,81,0.9,7.5
26.11.2022,68,0,7.3
27.11.2022,83,0,5.7
28.11.2022,76,0.8,7.2
29.11.2022,86,3.3,6.5
30.11.2022,76,0,6.7
01.12.2022,71,0,4.5
02.12.2022,73,0,4.5
03.12.2022,83,0,2.8
04.12.2022,85,5.6,3.8
05.12.2022,85,0.1,4.1
06.12.2022,84,0,2.9
07.12.2022,81,0,2.6
08.12.2022,76,1,3
09.12.2022,97,16.4,1.4
10.12.2022,79,0.6,2.1
11.12.2022,66,0,-0.8
12.12.2022,76,0,-1.9
13.12.2022,90,0.3,-1.8
14.12.2022,99,5.1,4.1
15.12.2022,95,13.9,5.4
16.12.2022,94,7.8,3.2
17.12.2022,80,0,-0.4
18.12.2022,82,0,1.2
19.12.2022,83,0,4.8
20.12.2022,68,0,9.5
21.12.2022,93,4.1,9.1
22.12.2022,87,14.6,9.7
23.12.2022,98,32.8,11.1
24.12.2022,94,5.2,10.8
25.12.2022,98,0,8.7
26.12.2022,81,2.6,10.4
27.12.2022,72,0,7.7
28.12.2022,74,0,6.2
29.12.2022,84,15.2,8.3
30.12.2022,96,12.3,8.1
31.12.2022,85,0.2,11.3
01.01.2023,73,0,12.2
02.01.2023,63,3.1,11.6
03.01.2023,97,2.5,8
04.01.2023,89,0,7.6
05.01.2023,91,2.8,8.9
06.01.2023,96,0,6.7
07.01.2023,80,0,8.2
08.01.2023,91,17.5,7.7
09.01.2023,81,13.9,5.4
10.01.2023,74,0.8,5.1
11.01.2023,80,3.1,6.1
12.01.2023,75,0,6.5
13.01.2023,80,2.3,7.2
14.01.2023,66,0.3,7.2
15.01.2023,83,11.8,5.6
16.01.2023,84,10.8,2.5
17.01.2023,91,12.1,1.7
18.01.2023,84,7.4,0.7
19.01.2023,72,1,-1.5
20.01.2023,70,0,-2.1
21.01.2023,68,0,-1.3
22.01.2023,68,0,-0.4
23.01.2023,69,0,-0.3
24.01.2023,77,0,1.4
25.01.2023,82,0,1
26.01.2023,80,0,0.3
27.01.2023,74,0,-0.2
28.01.2023,67,0,0.5
29.01.2023,70,0,0.1
30.01.2023,73,0,0.6
31.01.2023,73,0,2.7
01.02.2023,68,0,4
02.02.2023,67,0,5
03.02.2023,73,0,4.5
04.02.2023,75,0,6.6
05.02.2023,67,0.2,5.4
06.02.2023,70,0,3.3
07.02.2023,62,0,1.8
08.02.2023,70,0,0.2
09.02.2023,75,0,0.3
10.02.2023,64,0,2.3
11.02.2023,69,0,2.5
12.02.2023,66,0,4.3
13.02.2023,82,0,4.2
14.02.2023,80,0,4.7
15.02.2023,75,0,5.4
16.02.2023,66,0,6.3
17.02.2023,58,0,8.4
18.02.2023,73,0,9.3
19.02.2023,70,0,9.2
20.02.2023,70,0,8.1
21.02.2023,75,0,8.2
22.02.2023,85,0.2,7.9
