Date;PERROY - Humidité moy. (%);PERROY - Précipitations tot. (mm ou litres/m2);PERROY - Température moy. +2 m (°C)
01.10.2022;86;18.1;10.9
02.10.2022;81;7.8;16.7
03.10.2022;79;0;15.2
04.10.2022;77;0;15
05.10.2022;79;0;14.7
06.10.2022;77;0;17.1
07.10.2022;86;0;15
08.10.2022;89;4.9;14.6
09.10.2022;77;0.1;13.9
10.10.2022;88;0.2;14.9
11.10.2022;85;0.1;14.8
12.10.2022;81;0;15.8
13.10.2022;88;0;14.3
14.10.2022;87;4.2;15
15.10.2022;80;0;16.6
16.10.2022;81;0;16.2
17.10.2022;84;0;15.2
18.10.2022;85;0;15.7
19.10.2022;90;0;13.7
20.10.2022;91;0.6;14.8
21.10.2022;94;18.9;15.1
22.10.2022;86;4.1;15.5
23.10.2022;92;4;13.4
24.10.2022;94;23.7;13.8
25.10.2022;92;0;13.2
26.10.2022;87;1.4;15.1
27.10.2022;91;0;13.8
28.10.2022;92;0.1;14
29.10.2022;90;0;13.6
30.10.2022;94;0.1;12.4
31.10.2022;91;0;13.4
01.11.2022;90;12.4;13.4
02.11.2022;79;0;12.1
03.11.2022;92;20.1;9.3
04.11.2022;87;7.7;7.8
05.11.2022;77;0;8.3
06.11.2022;78;0.1;8.3
07.11.2022;74;0;10.9
08.11.2022;85;0;9.8
09.11.2022;94;27.1;11.4
10.11.2022;81;0.1;12.4
11.11.2022;86;0;10.7
12.11.2022;89;0;9.3
13.11.2022;88;0;8.1
14.11.2022;75;0.8;11.8
15.11.2022;92;16;10.4
16.11.2022;81;10.1;11
17.11.2022;75;6;12.3
18.11.2022;78;1.3;8.7
19.11.2022;78;0.2;7
20.11.2022;72;0.5;6.8
21.11.2022;83;6.5;6.5
22.11.2022;83;1.5;6.3
23.11.2022;88;6.3;4.8
24.11.2022;83;1;8.2
25.11.2022;84;0.7;7.4
26.11.2022;74;0;7.2
27.11.2022;83;0;5.8
28.11.2022;79;0.7;7.2
29.11.2022;85;3.3;6.7
30.11.2022;77;0;7.1
01.12.2022;72;0;5
02.12.2022;75;0;5
03.12.2022;82;0;3.2
04.12.2022;83;5;4.2
05.12.2022;87;0.1;3.8
06.12.2022;83;0;3.2
07.12.2022;80;0;3.1
08.12.2022;76;0.7;3.5
09.12.2022;93;14.9;1.7
10.12.2022;82;0.7;2.5
11.12.2022;70;0;-0.4
12.12.2022;76;0;-1.6
13.12.2022;85;0.1;-1.3
14.12.2022;93;4;4.3
15.12.2022;92;13;5.1
16.12.2022;90;7.7;3.6
17.12.2022;79;0;0
18.12.2022;81;0;1.6
19.12.2022;87;0;3.9
20.12.2022;78;0;8.3
21.12.2022;89;3.1;9.2
22.12.2022;86;14;9.9
23.12.2022;94;28.6;11.2
24.12.2022;92;5;10.9
25.12.2022;95;0;8.3
26.12.2022;85;3.5;9.9
27.12.2022;80;0;7.2
28.12.2022;77;0;6.1
29.12.2022;84;16.3;8.6
30.12.2022;93;13.4;8.2
31.12.2022;88;0.4;10.5
01.01.2023;76;0;12.1
02.01.2023;70;3.1;11.3
03.01.2023;94;2.4;8.2
04.01.2023;89;0;7.7
05.01.2023;90;2.8;8.5
06.01.2023;94;0.1;6.8
07.01.2023;82;0;8.3
08.01.2023;90;18.9;7.8
09.01.2023;80;11.4;5.9
10.01.2023;76;0.8;5.5
11.01.2023;83;2.8;6.1
12.01.2023;75;0;7
13.01.2023;79;2.3;7.6
14.01.2023;71;0.1;7.3
15.01.2023;83;10.7;6
16.01.2023;84;10.4;2.9
17.01.2023;90;11.8;1.8
18.01.2023;86;9.4;0.9
19.01.2023;76;0.7;-1.3
20.01.2023;77;0;-2.1
21.01.2023;72;0;-0.9
22.01.2023;72;0;0.1
23.01.2023;72;0;0.2
24.01.2023;77;0;1.8
25.01.2023;82;0;1.3
26.01.2023;80;0;0.7
27.01.2023;75;0;0.3
28.01.2023;71;0;0.9
29.01.2023;73;0;0.5
30.01.2023;76;0;0.7
31.01.2023;77;0;2.6
01.02.2023;72;0;3.9
02.02.2023;72;0;4.9
03.02.2023;78;0;3.9
04.02.2023;78;0;6.3
05.02.2023;71;0.1;5.5
06.02.2023;71;0;3.7
